scenario,fish,host,weight,group,D_env_host,I_env_host,D_comb_host,I_comb_host
ssp119_2100,Amphiprion_frenatus,Entacmaea_quadricolor,1,specialist,0.5265614003048243,0.8112274621954128,0.5163285199385886,0.8088846198919071
ssp119_2100,Amphiprion_fuscocaudatus,Entacmaea_quadricolor,0.15,generalist,0.3296292855325438,0.6130593104844947,0.4547221526305658,0.7469712682205845
ssp119_2100,Amphiprion_latifasciatus,Entacmaea_quadricolor,0.29,generalist,0.49222110144178943,0.7672885726345676,0.5923100768299039,0.8467631522662359
ssp119_2100,Amphiprion_melanopus,Entacmaea_quadricolor,0.98,specialist,0.7407159841973294,0.9438533888888848,0.7117589116773513,0.9316738971521136
ssp119_2100,Amphiprion_rubrocinctus,Entacmaea_quadricolor,1,specialist,0.3977996142598297,0.705003102672117,0.37712516582182276,0.6583717504484621
ssp119_2100,Amphiprion_sebae,Entacmaea_quadricolor,0.06,generalist,0.8196518194839493,0.9727723820700562,0.8561635163848224,0.9811131065753542
ssp119_2100,Amphiprion_tricinctus,Entacmaea_quadricolor,0.22,generalist,0.35201817454294804,0.7061430568061153,0.5392687170543282,0.8669304592286653
ssp119_2100,Amphiprion_akallopisos,Heteractis_magnifica,0.94,specialist,0.7637118884808898,0.9545008511048498,0.7580062024871175,0.9567160077842849
ssp119_2100,Amphiprion_akindynos,Heteractis_magnifica,0.02,generalist,0.32384436091320723,0.6075450425886318,0.2894306530033379,0.5382419483006552
ssp119_2100,Amphiprion_allardi,Heteractis_magnifica,0.11,generalist,0.5275607153839185,0.8231760566468039,0.6529894707740181,0.8909554935066739
ssp119_2100,Amphiprion_chrysogaster,Heteractis_magnifica,0.32,generalist,0.46380709687333777,0.7644412702151004,0.43606335477635116,0.7286961206158656
ssp119_2100,Amphiprion_latifasciatus,Heteractis_magnifica,0.08,generalist,0.5468216151633118,0.7835069148075136,0.6543218416898438,0.8619916471846117
