species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed,n_hosts,group
Amphiprion_akallopisos,Combined,12,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6631041666666667,0.34273333333333333,0.00726654,0.9583333333333334,0.3844,0.6713666666666667,69,3078,1922,3,0.03813959270461788,0.14398186059653098,-0.578420548915682,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,12,2,specialist
Amphiprion_akallopisos,Combined,13,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.7729610115911486,0.4717386722866175,0.28515266,0.7671232876712328,0.7046153846153846,0.7358693361433087,56,96,229,17,0.135971045451475,0.42386400442236416,0.8210526315789475,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,13,2,specialist
Amphiprion_akallopisos,Combined,14,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8475638802614279,0.6379642156208916,0.33338801,0.9230769230769232,0.7148872925439683,0.8189821078104458,12,1151,2886,1,0.09116606683964212,0.30020343816188916,0.3028729647635529,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,14,2,specialist
Amphiprion_akallopisos,Combined,15,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.7557748374074905,0.4696120206324288,0.63539646,0.6153846153846154,0.8542274052478134,0.7348060103162144,8,50,293,5,0.24332456518515444,0.66547662698786,0.45523465748760233,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,15,2,specialist
Amphiprion_akallopisos,Combined,16,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6390930555555555,0.24673333333333325,0.00658334,0.9583333333333334,0.2884,0.6233666666666666,69,3558,1442,3,0.03191889821422502,0.12723717245153943,-0.5728249550962848,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,16,2,specialist
Amphiprion_akallopisos,Combined,17,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.7238988408851422,0.3771548998946259,0.10272824,0.8356164383561644,0.5415384615384615,0.688577449947313,61,149,176,12,0.14519445654480848,0.4795568116352401,0.6420779403270124,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,17,2,specialist
Amphiprion_akallopisos,Combined,18,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8073969627103142,0.5675958918465731,0.40149903,0.7692307692307693,0.7983651226158038,0.7837979459232866,10,814,3223,3,0.10330670089678888,0.34269728405235617,0.16789696959718697,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,18,2,specialist
Amphiprion_akallopisos,Combined,19,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.47835837631756,0.3294460641399417,0.51090816000000006,1,0.3294460641399417,0.6647230320699709,13,230,113,0,0.3741157211633861,0.990330564579074,0.26285149626910836,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,19,2,specialist
Amphiprion_akallopisos,Combined,20,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6149486111111111,0.28622222222222216,0.00124806,0.9722222222222222,0.314,0.6431111111111111,70,3430,1570,2,0.02796082880870231,0.12262356626079218,-0.5769834612342866,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,20,2,specialist
Amphiprion_akallopisos,Combined,21,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.8048261327713383,0.5592834562697577,0.24588186,0.7808219178082192,0.7784615384615384,0.7796417281348789,57,72,253,16,0.12470017405897656,0.4009815118123478,0.6508569548876263,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,21,2,specialist
Amphiprion_akallopisos,Combined,22,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8365884796402507,0.6955469598521371,0.35882042000000003,0.8461538461538461,0.8493931136982908,0.8477734799260686,11,608,3429,2,0.06317779927567796,0.23791520385892348,0.00705790166647445,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,22,2,specialist
Amphiprion_akallopisos,Combined,23,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.8712715855572999,0.7288629737609329,0.5167957,1,0.7288629737609329,0.8644314868804664,13,93,250,0,0.19254308312904583,0.5655092246994835,0.5999216416503287,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,23,2,specialist
Amphiprion_akallopisos,Combined,24,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6415569444444444,0.264,0.01047351,0.875,0.389,0.632,63,3055,1945,9,0.03673625893844055,0.14248886093325158,-0.4579162678915816,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,24,2,specialist
Amphiprion_akallopisos,Combined,25,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.7306006322444678,0.4188408851422549,0.11170268,0.821917808219178,0.5969230769230769,0.7094204425711275,60,131,194,13,0.14682503639172814,0.4606219227584821,0.13368560167071963,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,25,2,specialist
Amphiprion_akallopisos,Combined,26,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8383986585621463,0.6575332024923306,0.25538513,0.9230769230769232,0.7344562794154075,0.8287666012461653,12,1072,2965,1,0.06556573863504256,0.23329985457695435,-0.00329209744308209,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,26,2,specialist
Amphiprion_akallopisos,Combined,27,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.6662928907826867,0.4314868804664722,0.50502635,1,0.4314868804664723,0.7157434402332361,13,195,148,0,0.27689303479688193,0.7459811870965823,0.4358254279047976,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,27,2,specialist
Amphiprion_akallopisos,Combined,28,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6154402777777778,0.2148888888888889,0.00572327,0.8888888888888888,0.326,0.6074444444444445,64,3370,1630,8,0.0376249397093303,0.14739986329581126,-0.4482759254096535,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,28,2,specialist
Amphiprion_akallopisos,Combined,29,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.7249525816649104,0.3633298208640674,0.33440119,0.547945205479452,0.8153846153846154,0.6816649104320337,40,60,265,33,0.146652923991358,0.47491761541324917,0.21167645822763767,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,29,2,specialist
Amphiprion_akallopisos,Combined,30,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8089213239076999,0.6570377851031801,0.28746531000000003,0.9230769230769232,0.7339608620262571,0.8285188925515901,12,1074,2963,1,0.0690801169284312,0.2586186686323772,-0.04449501836729486,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,30,2,specialist
Amphiprion_akallopisos,Combined,31,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.5400313971742543,0.2641847947970397,0.48384542,0.9230769230769232,0.34110787172011664,0.6320923973985199,12,226,117,1,0.32027373806761955,0.8466084215627868,0.2629068370761734,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,31,2,specialist
Amphiprion_akallopisos,Combined,32,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.4450875,0.01419999999999999,1.7638000000000002e-4,1,0.0142,0.5071,72,4929,71,0,0.03673917816930962,0.15777366965727846,-0.511697870819398,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,32,2,specialist
Amphiprion_akallopisos,Combined,33,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.7370916754478398,0.42002107481559525,0.1997287,0.7123287671232876,0.7076923076923077,0.7100105374077976,52,95,230,21,0.144388557840467,0.4583411957017749,0.015867210627478,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,33,2,specialist
Amphiprion_akallopisos,Combined,34,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8310245612697928,0.7006345153484119,0.33906507,0.9230769230769232,0.7775575922714887,0.850317257674206,12,898,3139,1,0.07698728073672739,0.2720562660705355,0.09704614791402374,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,34,2,specialist
Amphiprion_akallopisos,Combined,35,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.6245795021305225,0.3691410630186141,0.49021706,0.9230769230769232,0.446064139941691,0.684570531509307,12,190,153,1,0.27803926263179607,0.7540639848401592,0.3123121487414946,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,35,2,specialist
Amphiprion_akallopisos,Combined,36,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6137847222222222,0.2030666666666665,0.00867374,0.9166666666666666,0.2864,0.6015333333333333,66,3568,1432,6,0.03221230493414534,0.13061282471978802,-0.5399294774852957,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,36,2,specialist
Amphiprion_akallopisos,Combined,37,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.7759536354056902,0.4912961011591148,0.13684515,0.8082191780821918,0.683076923076923,0.7456480505795574,59,103,222,14,0.13597248669014156,0.4407221141006856,0.27170004771103573,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,37,2,specialist
Amphiprion_akallopisos,Combined,38,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8620643661515596,0.6969188849297843,0.2655963,0.9230769230769232,0.773841961852861,0.8484594424648921,12,913,3124,1,0.06060112567734229,0.2276083593485381,0.08316292965786318,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,38,2,specialist
Amphiprion_akallopisos,Combined,39,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.6644987665395828,0.33527696793002915,0.46928904,1,0.33527696793002915,0.6676384839650146,13,228,115,0,0.3179027800194108,0.8399573979206666,0.44309622457431136,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,39,2,specialist
Amphiprion_akallopisos,Combined,40,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6113291666666667,0.29633333333333334,0.01002148,0.9583333333333334,0.338,0.6481666666666667,69,3310,1690,3,0.03436927690711549,0.13675399584928455,-0.6008377178438632,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,40,2,specialist
Amphiprion_akallopisos,EnvOnly,1,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.7950052687038989,0.5397260273972604,0.41376259,0.7397260273972602,0.8,0.7698630136986302,54,65,260,19,0.1437412350883823,0.45332347549111063,0.631816517039177,PC1;PC2;PC3;PC4;rugosity,1,2,specialist
Amphiprion_akallopisos,EnvOnly,2,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8017187172500524,0.5720737028638938,0.28153306,0.9230769230769232,0.6489967797869706,0.7860368514319469,12,1417,2620,1,0.08462726640938704,0.31184918830793434,0.08116586916445623,PC1;PC2;PC3;PC4;rugosity,2,2,specialist
Amphiprion_akallopisos,EnvOnly,3,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.8784480825297152,0.7317784256559767,0.54974444,1,0.7317784256559767,0.8658892128279884,13,92,251,0,0.22365621819018616,0.6379538809211552,0.4718325906031894,PC1;PC2;PC3;PC4;rugosity,3,2,specialist
Amphiprion_akallopisos,EnvOnly,4,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.5330152777777778,0.16308888888888884,0.0165278,0.7638888888888888,0.3992,0.5815444444444444,55,3004,1996,17,0.03162117259856726,0.13492677689258803,-0.4852307395701187,PC1;PC2;PC3;PC4;rugosity,4,2,specialist
Amphiprion_akallopisos,EnvOnly,5,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.7422339304531085,0.4385669125395153,0.52468084,0.5616438356164384,0.8769230769230769,0.7192834562697576,41,40,285,32,0.16034854211503607,0.49616452928314886,0.27340725373163605,PC1;PC2;PC3;PC4;rugosity,5,2,specialist
Amphiprion_akallopisos,EnvOnly,6,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8109601570092033,0.5898896743583393,0.36461077,0.7692307692307693,0.82065890512757,0.7949448371791696,10,724,3313,3,0.08674708912171011,0.31125608610303107,0.0141158033329489,PC1;PC2;PC3;PC4;rugosity,6,2,specialist
Amphiprion_akallopisos,EnvOnly,7,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.7584660237721462,0.4723032069970845,0.57354815,1,0.47230320699708456,0.7361516034985423,13,181,162,0,0.31829203564200925,0.8472423020165855,0.5946282154004727,PC1;PC2;PC3;PC4;rugosity,7,2,specialist
Amphiprion_akallopisos,EnvOnly,8,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6199319444444444,0.22931111111111124,0.03559892999999999,0.7361111111111112,0.4932,0.6146555555555556,53,2534,2466,19,0.03302619057615601,0.13611849200579296,-0.48302783856093184,PC1;PC2;PC3;PC4;rugosity,8,2,specialist
Amphiprion_akallopisos,EnvOnly,9,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.8256480505795575,0.5948155953635406,0.46471493,0.7671232876712328,0.8276923076923077,0.7974077976817703,56,56,269,17,0.13971557497197623,0.44215648831366067,0.8518328445454776,PC1;PC2;PC3;PC4;rugosity,9,2,specialist
Amphiprion_akallopisos,EnvOnly,10,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8435433776033231,0.6732531773403707,0.35006682,0.8461538461538461,0.8270993311865247,0.8366265886701854,11,698,3339,2,0.06997899130396495,0.25885436985738625,-0.077636918331219,PC1;PC2;PC3;PC4;rugosity,10,2,specialist
Amphiprion_akallopisos,EnvOnly,11,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.7995066158331464,0.629737609329446,0.62602131,1,0.6297376093294461,0.814868804664723,13,127,216,0,0.3126614517503078,0.831645053937227,0.4753787567887474,PC1;PC2;PC3;PC4;rugosity,11,2,specialist
Amphiprion_akallopisos,EnvOnly,12,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.5330958333333333,0.13786666666666658,0.04662521,0.6666666666666666,0.4712,0.5689333333333333,48,2644,2356,24,0.04118703073143321,0.1669721006129003,-0.5249956724573309,PC1;PC2;PC3;PC4;rugosity,12,2,specialist
Amphiprion_akallopisos,EnvOnly,13,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.799473129610116,0.5369441517386724,0.43534037,0.7123287671232876,0.8246153846153846,0.7684720758693362,52,57,268,21,0.13961330718232043,0.4460162856835254,0.9013940282281236,PC1;PC2;PC3;PC4;rugosity,13,2,specialist
Amphiprion_akallopisos,EnvOnly,14,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8043863493454774,0.6136887635525237,0.35279181,0.9230769230769232,0.6906118404756006,0.8068443817762618,12,1249,2788,1,0.1010614128465399,0.34680925281414143,0.10763300041373544,PC1;PC2;PC3;PC4;rugosity,14,2,specialist
Amphiprion_akallopisos,EnvOnly,15,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.8082529715182777,0.5429468490692981,0.60446527,0.8461538461538461,0.6967930029154519,0.7714734245346491,11,104,239,2,0.26878626020568874,0.7325175230034396,0.4699786315045521,PC1;PC2;PC3;PC4;rugosity,15,2,specialist
Amphiprion_akallopisos,EnvOnly,16,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.5675708333333334,0.20517777777777768,0.03494957,0.7777777777777778,0.4274,0.6025888888888888,56,2863,2137,16,0.03389504563308131,0.1431897614680478,-0.5382524552409819,PC1;PC2;PC3;PC4;rugosity,16,2,specialist
Amphiprion_akallopisos,EnvOnly,17,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.7506638566912539,0.48383561643835615,0.43634016,0.6438356164383562,0.84,0.7419178082191781,47,52,273,26,0.14933310201689687,0.4897301743481819,0.8266784472877095,PC1;PC2;PC3;PC4;rugosity,17,2,specialist
Amphiprion_akallopisos,EnvOnly,18,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.7164307082563214,0.4354337760332312,0.37571185,0.6923076923076923,0.7431260837255388,0.7177168880166156,9,1037,3000,4,0.1108023304056114,0.3784265780769796,0.04940531166532118,PC1;PC2;PC3;PC4;rugosity,18,2,specialist
Amphiprion_akallopisos,EnvOnly,19,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.6133662256111235,0.370262390670554,0.57434408,1,0.37026239067055394,0.685131195335277,13,216,127,0,0.37882154092220593,0.9959433073428942,0.4217756949399825,PC1;PC2;PC3;PC4;rugosity,19,2,specialist
Amphiprion_akallopisos,EnvOnly,20,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.4794541666666667,0.1030444444444445,0.02165888,0.6944444444444444,0.4086,0.5515222222222222,50,2957,2043,22,0.02906328531257017,0.13041002945242106,-0.5274513635623078,PC1;PC2;PC3;PC4;rugosity,20,2,specialist
Amphiprion_akallopisos,EnvOnly,21,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.788177028451001,0.5226554267650159,0.33642903,0.7534246575342466,0.7692307692307693,0.7613277133825079,55,75,250,18,0.13345440611606987,0.4311886097112751,0.9141576632110312,PC1;PC2;PC3;PC4;rugosity,21,2,specialist
Amphiprion_akallopisos,EnvOnly,22,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8020426440044969,0.6276747775385378,0.28889824000000003,0.8461538461538461,0.7815209313846916,0.8138373887692689,11,882,3155,2,0.06769984285247907,0.26579778698574325,-0.09175272166416792,PC1;PC2;PC3;PC4;rugosity,22,2,specialist
Amphiprion_akallopisos,EnvOnly,23,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.8627494954025566,0.6880466472303208,0.55038734,1,0.6880466472303207,0.8440233236151604,13,107,236,0,0.254175350055493,0.7096395305364792,0.4656098726037121,PC1;PC2;PC3;PC4;rugosity,23,2,specialist
Amphiprion_akallopisos,EnvOnly,24,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.5196263888888889,0.1004222222222222,0.05063732,0.5972222222222222,0.5032,0.5502111111111111,43,2484,2516,29,0.03959328173063676,0.16329846314180485,-0.3310783520001186,PC1;PC2;PC3;PC4;rugosity,24,2,specialist
Amphiprion_akallopisos,EnvOnly,25,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.7791991570073762,0.5428029504741834,0.37934709,0.7397260273972602,0.803076923076923,0.7714014752370917,54,64,261,19,0.13526028585218375,0.4423103714923279,0.5107183512733348,PC1;PC2;PC3;PC4;rugosity,25,2,specialist
Amphiprion_akallopisos,EnvOnly,26,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.7602751471961281,0.48857681827709065,0.27871522,0.7692307692307693,0.7193460490463215,0.7442884091385453,10,1133,2904,3,0.07121452997341175,0.269373189509205,-0.06352111499827008,PC1;PC2;PC3;PC4;rugosity,26,2,specialist
Amphiprion_akallopisos,EnvOnly,27,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.8113926889437093,0.5943036555281453,0.67639209,0.7692307692307693,0.8250728862973761,0.7971518277640727,10,60,283,3,0.2997055062321666,0.8000489809899057,0.4205273617746611,PC1;PC2;PC3;PC4;rugosity,27,2,specialist
Amphiprion_akallopisos,EnvOnly,28,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.5096180555555555,0.10284444444444452,0.06102133,0.5694444444444444,0.5334,0.5514222222222223,41,2333,2667,31,0.04119179343202957,0.17190493715762376,-0.4723767816144736,PC1;PC2;PC3;PC4;rugosity,28,2,specialist
Amphiprion_akallopisos,EnvOnly,29,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.7650368809272919,0.5006111696522655,0.43807172,0.6575342465753424,0.8430769230769231,0.7503055848261327,48,51,274,25,0.14164138663561765,0.4585840552796427,0.8691729323308272,PC1;PC2;PC3;PC4;rugosity,29,2,specialist
Amphiprion_akallopisos,EnvOnly,30,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.7860749604618814,0.5690821440140241,0.32006226,0.7692307692307693,0.7998513747832549,0.7845410720070121,10,808,3229,3,0.07374177882793405,0.28245607840434206,-0.06355401897094982,PC1;PC2;PC3;PC4;rugosity,30,2,specialist
Amphiprion_akallopisos,EnvOnly,31,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.5833146445391343,0.314868804664723,0.49867671,1,0.31486880466472306,0.6574344023323615,13,235,108,0,0.3536419698326744,0.9303108545790288,0.3290777400081183,PC1;PC2;PC3;PC4;rugosity,31,2,specialist
Amphiprion_akallopisos,EnvOnly,32,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.46153472222222225,0.04515555555555561,0.03887774999999999,0.6805555555555556,0.3646,0.5225777777777778,49,3177,1823,23,0.04042240913473628,0.17303935375074447,-0.4740620318038219,PC1;PC2;PC3;PC4;rugosity,32,2,specialist
Amphiprion_akallopisos,EnvOnly,33,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.7425289778714437,0.444341412012645,0.3519076,0.7397260273972602,0.7046153846153846,0.7221707060063225,54,96,229,19,0.1509533798581774,0.48587876821846426,0.41914959320819617,PC1;PC2;PC3;PC4;rugosity,33,2,specialist
Amphiprion_akallopisos,EnvOnly,34,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.78516034374345,0.5430917855985977,0.27315066,0.9230769230769232,0.6200148625216745,0.7715458927992989,12,1534,2503,1,0.07881940443303015,0.2888766217746834,0.0141158033329489,PC1;PC2;PC3;PC4;rugosity,34,2,specialist
Amphiprion_akallopisos,EnvOnly,35,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.6277192195559542,0.4139941690962099,0.54716779,1,0.4139941690962099,0.706997084548105,13,201,142,0,0.33124296930867225,0.8770680845741744,0.44958508141954184,PC1;PC2;PC3;PC4;rugosity,35,2,specialist
Amphiprion_akallopisos,EnvOnly,36,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.5322791666666666,0.14351111111111114,0.02836877,0.7361111111111112,0.4074,0.5717555555555556,53,2963,2037,19,0.03509764937388213,0.1468412263187265,-0.564346161534137,PC1;PC2;PC3;PC4;rugosity,36,2,specialist
Amphiprion_akallopisos,EnvOnly,37,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.7642360379346681,0.486027397260274,0.27969473,0.726027397260274,0.76,0.743013698630137,53,78,247,20,0.13248295450832215,0.4429816329992756,0.8314314003363704,PC1;PC2;PC3;PC4;rugosity,37,2,specialist
Amphiprion_akallopisos,EnvOnly,38,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.820011051618681,0.611326003696576,0.30353735,0.8461538461538461,0.7651721575427297,0.805663001848288,11,948,3089,2,0.07080339797140715,0.27189719633812237,0.01390469323977964,PC1;PC2;PC3;PC4;rugosity,38,2,specialist
Amphiprion_akallopisos,EnvOnly,39,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.9437093518726172,0.8297824624355237,0.61564612,0.9230769230769232,0.9067055393586004,0.9148912312177618,12,32,311,1,0.199900155458254,0.5835667335981388,0.5852586247269768,PC1;PC2;PC3;PC4;rugosity,39,2,specialist
Amphiprion_akallopisos,EnvOnly,40,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.49745972222222223,0.1405333333333334,0.03604023,0.7083333333333334,0.4322,0.5702666666666667,51,2839,2161,21,0.03609465026381988,0.15355279988067694,-0.5469873791517702,PC1;PC2;PC3;PC4;rugosity,40,2,specialist
