species,group,model_type,scenario,thr,area_current_km2,area_future_km2,lon_current,lat_current,lon_future,lat_future,shift_km,niche_breadth_B2
Amphiprion_latifasciatus,generalist,Combined,SSP1-1.9 2050,0.08563924102564102,1977098.6016222686,2882235.938461202,97.675167,0.18550799685401423,112.28594880796788,11.631161802748043,2054.782978655782,0.22305720512243013
Amphiprion_latifasciatus,generalist,Combined,SSP1-1.9 2100,0.08563924102564102,1977098.6016222686,2891078.66280495,97.675167,0.18550799685401423,112.10863580195465,11.264778808961504,2014.8323364152343,0.22305720512243013
Amphiprion_latifasciatus,generalist,Combined,SSP5-8.5 2050,0.08563924102564102,1977098.6016222686,2890309.8607018534,97.675167,0.18550799685401423,112.63553481982343,11.465532805556931,2074.295229563889,0.22305720512243013
Amphiprion_latifasciatus,generalist,Combined,SSP5-8.5 2100,0.08563924102564102,1977098.6016222686,2423407.4031589264,97.675167,0.18550799685401423,112.53111881628237,10.825567816410048,2023.6872267645363,0.22305720512243013
Amphiprion_leucokranos,generalist,Combined,SSP1-1.9 2050,0.2890031158974359,2126341.121840594,782937.6176524076,106.755279,1.4156879759914887,111.200574513124,1.434156253839866,494.1456451541362,0.373317232617622
Amphiprion_leucokranos,generalist,Combined,SSP1-1.9 2100,0.2890031158974359,2126341.121840594,783235.8777204994,106.755279,1.4156879759914887,111.1564742695888,1.4570071814159353,489.2583003401691,0.373317232617622
Amphiprion_leucokranos,generalist,Combined,SSP5-8.5 2050,0.2890031158974359,2126341.121840594,782931.2527247582,106.755279,1.4156879759914887,111.24014965511957,1.430679447030073,498.54373400978545,0.373317232617622
Amphiprion_leucokranos,generalist,Combined,SSP5-8.5 2100,0.2890031158974359,2126341.121840594,778218.2750799826,106.755279,1.4156879759914887,111.24261182759489,1.4577149518542132,498.833584826675,0.373317232617622
Amphiprion_melanopus,specialist,Combined,SSP1-1.9 2050,0.2058720675,2777647.806938091,1684731.08290047,112.725992,-2.9455729500462304,109.74627972183976,3.034563948537068,742.867459007673,0.4168059497049306
Amphiprion_melanopus,specialist,Combined,SSP1-1.9 2100,0.2058720675,2777647.806938091,1674667.8461215093,112.725992,-2.9455729500462304,109.12749170085472,3.216260945455683,793.349464115589,0.4168059497049306
Amphiprion_melanopus,specialist,Combined,SSP5-8.5 2050,0.2058720675,2777647.806938091,1682605.7471926992,112.725992,-2.9455729500462304,109.62948971787904,2.8469869517181716,730.2882956626472,0.4168059497049306
Amphiprion_melanopus,specialist,Combined,SSP5-8.5 2100,0.2058720675,2777647.806938091,1683080.666181114,112.725992,-2.9455729500462304,108.40394967631714,3.1567049464656884,831.3642381958434,0.4168059497049306
Amphiprion_nigripes,specialist,Combined,SSP1-1.9 2050,0.211948791,1947768.177608124,1652316.636856617,88.23134300000001,4.605929921888427,115.21433890727876,5.280789910443499,2989.9263430453793,0.29715557447726976
Amphiprion_nigripes,specialist,Combined,SSP1-1.9 2100,0.211948791,1947768.177608124,1633526.0109030518,88.23134300000001,4.605929921888427,115.68829192335198,5.124969913086038,3042.3945691965328,0.29715557447726976
Amphiprion_nigripes,specialist,Combined,SSP5-8.5 2050,0.211948791,1947768.177608124,1651289.8984340206,88.23134300000001,4.605929921888427,115.52508691781719,5.2484679109916454,3024.3227210852147,0.29715557447726976
Amphiprion_nigripes,specialist,Combined,SSP5-8.5 2100,0.211948791,1947768.177608124,1524782.7774599476,88.23134300000001,4.605929921888427,114.2740878753919,3.9725939326290916,2888.4120713630446,0.29715557447726976
Amphiprion_ocellaris,specialist,Combined,SSP1-1.9 2050,0.31795268625,3919688.0025056438,1740353.9268932668,110.949352,0.013957999763317108,112.68037282134404,0.3608599938802027,196.30653743183657,0.6129331148052852
