species,group,scenario,potential_km2,ghost_km2,pct_ghost
Amphiprion_ocellaris,specialist,ssp119_2100,2250579.2577814604,649385.3558817235,28.854142933933552
Amphiprion_ocellaris,specialist,ssp585_2050,2239238.8284248468,628623.9507387171,28.073108717077382
Amphiprion_ocellaris,specialist,ssp585_2100,2370547.828998281,692529.0581602699,29.21388253334297
Amphiprion_percula,specialist,current,2386468.3594315494,513924.64768063027,21.534944959548753
Amphiprion_percula,specialist,ssp119_2050,1249887.6587690753,437529.62985006755,35.00551643825007
Amphiprion_percula,specialist,ssp119_2100,1242006.5445087408,436641.89224406186,35.15616678306392
Amphiprion_percula,specialist,ssp585_2050,1273558.9172701102,446184.7410023131,35.034479752119815
Amphiprion_percula,specialist,ssp585_2100,1211574.8984458714,409081.4035194377,33.76443371715446
Amphiprion_polymnus,generalist,current,2763155.3490915336,313655.4090136273,11.35134906970578
Amphiprion_polymnus,generalist,ssp119_2050,1941888.4918214995,135214.540534151,6.963043506546515
Amphiprion_polymnus,generalist,ssp119_2100,1936785.3463273607,133529.53967191232,6.8943902288975085
Amphiprion_polymnus,generalist,ssp585_2050,1952049.9223457947,136412.0078750944,6.988141354047285
Amphiprion_polymnus,generalist,ssp585_2100,1934233.1055914918,118961.90818712825,6.15033978289548
Amphiprion_rubrocinctus,specialist,current,1049716.3266822065,451792.35196482536,43.03947080567816
Amphiprion_rubrocinctus,specialist,ssp119_2050,667563.8366679612,288155.47687221476,43.1652317043561
Amphiprion_rubrocinctus,specialist,ssp119_2100,655355.2507561488,288769.03615516203,44.06297741903805
Amphiprion_rubrocinctus,specialist,ssp585_2050,665050.1075353215,293213.8260292265,44.08898257544505
Amphiprion_rubrocinctus,specialist,ssp585_2100,565284.3240187471,260043.82314874418,46.002305760051485
Amphiprion_tricinctus,generalist,current,533556.5592373768,19210.716426680432,3.6005023448945503
Amphiprion_tricinctus,generalist,ssp119_2050,313910.49785529723,43126.44831729585,13.73845367133143
Amphiprion_tricinctus,generalist,ssp119_2100,322038.98175344506,43528.41598104846,13.516505282697135
Amphiprion_tricinctus,generalist,ssp585_2050,314091.0283834254,43529.818119864045,13.858981691997007
Amphiprion_tricinctus,generalist,ssp585_2100,320803.8210009896,45264.94654738847,14.109852683845943
