species,model_type,iter,fold,auc
Amphiprion_akindynos,Combined,30,3,0.892
Amphiprion_akindynos,Combined,31,1,0.951
Amphiprion_akindynos,Combined,32,2,0.955
Amphiprion_akindynos,Combined,33,3,0.904
Amphiprion_akindynos,Combined,34,1,0.945
Amphiprion_akindynos,Combined,35,2,0.965
Amphiprion_akindynos,Combined,36,3,0.887
Amphiprion_akindynos,Combined,37,1,0.951
Amphiprion_akindynos,Combined,38,2,0.951
Amphiprion_akindynos,Combined,39,3,0.845
Amphiprion_akindynos,Combined,40,1,0.944
Amphiprion_akindynos,EnvOnly,1,1,0.935
Amphiprion_akindynos,EnvOnly,2,2,0.953
Amphiprion_akindynos,EnvOnly,3,3,0.857
Amphiprion_akindynos,EnvOnly,4,1,0.933
Amphiprion_akindynos,EnvOnly,5,2,0.943
Amphiprion_akindynos,EnvOnly,6,3,0.8
Amphiprion_akindynos,EnvOnly,7,1,0.92
Amphiprion_akindynos,EnvOnly,8,2,0.962
Amphiprion_akindynos,EnvOnly,9,3,0.883
Amphiprion_akindynos,EnvOnly,10,1,0.938
Amphiprion_akindynos,EnvOnly,11,2,0.959
Amphiprion_akindynos,EnvOnly,12,3,0.852
Amphiprion_akindynos,EnvOnly,13,1,0.919
Amphiprion_akindynos,EnvOnly,14,2,0.917
Amphiprion_akindynos,EnvOnly,15,3,0.849
Amphiprion_akindynos,EnvOnly,16,1,0.93
Amphiprion_akindynos,EnvOnly,17,2,0.941
Amphiprion_akindynos,EnvOnly,18,3,0.82
Amphiprion_akindynos,EnvOnly,19,1,0.922
Amphiprion_akindynos,EnvOnly,20,2,0.958
Amphiprion_akindynos,EnvOnly,21,3,0.854
Amphiprion_akindynos,EnvOnly,22,1,0.928
Amphiprion_akindynos,EnvOnly,23,2,0.946
Amphiprion_akindynos,EnvOnly,24,3,0.877
Amphiprion_akindynos,EnvOnly,25,1,0.916
Amphiprion_akindynos,EnvOnly,26,2,0.917
Amphiprion_akindynos,EnvOnly,27,3,0.852
Amphiprion_akindynos,EnvOnly,28,1,0.9
Amphiprion_akindynos,EnvOnly,29,2,0.924
Amphiprion_akindynos,EnvOnly,30,3,0.868
Amphiprion_akindynos,EnvOnly,31,1,0.935
Amphiprion_akindynos,EnvOnly,32,2,0.914
Amphiprion_akindynos,EnvOnly,33,3,0.884
Amphiprion_akindynos,EnvOnly,34,1,0.928
Amphiprion_akindynos,EnvOnly,35,2,0.948
Amphiprion_akindynos,EnvOnly,36,3,0.851
Amphiprion_akindynos,EnvOnly,37,1,0.93
Amphiprion_akindynos,EnvOnly,38,2,0.917
Amphiprion_akindynos,EnvOnly,39,3,0.841
Amphiprion_akindynos,EnvOnly,40,1,0.919
Amphiprion_akindynos,HostOnly,1,1,0.941
Amphiprion_akindynos,HostOnly,2,2,0.946
Amphiprion_akindynos,HostOnly,3,3,0.794
Amphiprion_akindynos,HostOnly,4,1,0.943
Amphiprion_akindynos,HostOnly,5,2,0.946
Amphiprion_akindynos,HostOnly,6,3,0.731
Amphiprion_akindynos,HostOnly,7,1,0.951
Amphiprion_akindynos,HostOnly,8,2,0.946
Amphiprion_akindynos,HostOnly,9,3,0.821
Amphiprion_akindynos,HostOnly,10,1,0.932
Amphiprion_akindynos,HostOnly,11,2,0.94
Amphiprion_akindynos,HostOnly,12,3,0.799
