decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
114.297,22.326495,2025-11-30T17:18,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.29699,22.326652,2025-11-30T11:38,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
72.862071,4.091132,2024-01-23T04:54,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
98.787636,8.04261,2024-01-28T17:59,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.583641,-20.306071,2024-01-14T06:02:02,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.687968,-32.265862,2024-02-10,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
145.663174,-14.657279,2024-02-25T11:03:16,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.625302,-20.295136,2024-02-28T07:07:19,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.625237,-20.2954,2024-02-28T07:00:09,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.645918,-20.305583,2024-02-25T17:05:32,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.621948,-20.298807,2024-03-13T06:33,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.596872,-20.306231,2024-03-17T07:22:17,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.600567,-20.30752,2024-03-03T09:38:08,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.574147,-20.297801,2024-03-24T16:38:49,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
166.436166,-22.297973,2024-03-22T10:15,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
131.166283,-1.029391,2024-03-01T04:15,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.349978,22.259662,2024-04-17T15:08,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.36405,22.309944,2024-04-20T14:44,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.622859,-20.297072,2024-04-14T08:07:32,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.623188,-20.296859,2024-04-14T08:11:27,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.618881,-20.305378,2024-04-08T20:12:34,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
125.159703,1.767678,2024-04-06,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.15806,-21.868621,2024-05-15T16:23,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.738949,-32.057484,2024-05-24T08:46,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
166.437153,-22.296581,2024-05-02T09:01,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.598603,-20.307435,2024-05-26T16:30:30,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.596075,-20.290096,2024-06-05T15:46:25,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.599719,-20.307373,2024-06-08T16:28:23,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
166.436006,-22.30023,2024-06-22T09:01,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
166.437741,-22.298242,2024-07-13T10:00,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.608689,-20.306183,2024-07-06T16:37,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.600025,-20.307227,2024-07-28T08:36:20,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.364152,22.310388,2024-08-07T12:14:39,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.644146,-20.304977,2024-08-25T19:44:39,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.605191,-20.306587,2024-08-03T16:31:06,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.598592,-20.307424,2024-08-31T14:40:58,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.391349,22.389208,2024-08-27T11:54,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
122.083662,-18.32767,2024-09-17T14:51:51,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
122.236023,-17.970538,2024-09-01T18:47,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.608187,-20.304848,2024-09-08T06:41,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.64935,-20.306242,2024-09-02T16:30,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.593037,-8.274202,2024-09-20T17:26,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.57995,-8.312404,2024-09-14T11:33,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.868746,4.590381,2024-10-05T15:31:54,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
134.402956,7.286497,2024-10-26T12:02,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
128.65603,-3.63131,2024-10-09T12:13,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.300359,22.310236,2024-11-30T11:54:06,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
