scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,bathymetry,occurrenceStatus,sst,source
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.300003,-5.5,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",145.5,-14.63,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.300003,-5.5,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",109.400002,12.82,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",142.259995,-9.89,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",153.399994,-27.18,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.300003,-5.5,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",128.160004,-3.7,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",145.800003,-5.15,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.300003,-5.5,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",153.399994,-27.5,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",134.5,-6.2,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",128.160004,-3.7,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",153.399994,-27.18,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",139.5,34.099998,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
